record_date,devs_1dau,devs_7dau,devs_28dau
2020-09-25,1878,5468,12515
2020-09-26,824,5439,12572
2020-09-27,870,5412,12597
2020-09-28,1875,5398,12629
2020-09-29,2013,5480,12777
2020-09-30,1986,5499,12782
2020-10-01,1891,5488,12749
2020-10-02,1637,5388,12741
2020-10-03,768,5380,12749
2020-10-04,880,5388,12793
2020-10-05,1909,5431,12825
2020-10-06,1997,5373,12819
2020-10-07,1982,5332,12841
2020-10-08,2035,5422,12924
2020-10-09,1991,5571,12986
2020-10-10,930,5615,13016
2020-10-11,1004,5690,13062
2020-10-12,2005,5770,13145
2020-10-13,2214,5921,13271
2020-10-14,2087,6006,13322
2020-10-15,2093,5965,13360
2020-10-16,1980,5891,13332
2020-10-17,933,5882,13342
2020-10-18,1040,5952,13418
2020-10-19,2298,6074,13563
2020-10-20,2354,6138,13710
2020-10-21,2340,6205,13765
2020-10-22,2344,6287,13831
2020-10-23,2129,6318,13905
2020-10-24,937,6306,13926
2020-10-25,985,6282,13962
2020-10-26,2190,6241,14045
2020-10-27,2255,6232,14048
2020-10-28,2183,6183,14063
2020-10-29,2185,6103,14129
2020-10-30,2036,6024,14201
2020-10-31,935,6065,14240
2020-11-01,1028,6101,14295
2020-11-02,2078,6068,14352
2020-11-03,2159,6058,14411
2020-11-04,2165,6078,14517
2020-11-05,2234,6080,14520
2020-11-06,2079,6067,14507
2020-11-07,931,6094,14504
2020-11-08,1012,6112,14528
2020-11-09,2241,6176,14546
2020-11-10,2271,6211,14530
2020-11-11,2135,6159,14513
2020-11-12,2278,6131,14542
2020-11-13,2127,6151,14584
2020-11-14,893,6100,14550
2020-11-15,993,6113,14560
2020-11-16,2137,6088,14484
2020-11-17,2327,6149,14510
2020-11-18,2297,6185,14481
2020-11-19,2335,6255,14477
2020-11-20,2093,6180,14423
2020-11-21,991,6219,14471
2020-11-22,1062,6235,14508
2020-11-23,2218,6345,14593
2020-11-24,2316,6339,14629
2020-11-25,2213,6278,14605
2020-11-26,2139,6277,14602
2020-11-27,1888,6161,14577
2020-11-28,995,6215,14636
2020-11-29,1060,6232,14657
2020-11-30,2323,6275,14698
2020-12-01,2407,6361,14806
2020-12-02,2434,6475,14844
2020-12-03,2389,6482,14816
2020-12-04,2282,6533,14851
2020-12-05,1091,6610,14921
2020-12-06,1179,6655,14952
2020-12-07,2458,6744,15047
2020-12-08,2365,6710,15098
2020-12-09,2584,6807,15210
2020-12-10,2490,6888,15316
2020-12-11,2246,6849,15339
2020-12-12,1071,6864,15410
2020-12-13,1124,6900,15459
2020-12-14,2456,6928,15531
2020-12-15,2415,6972,15564
2020-12-16,2392,6819,15556
2020-12-17,2408,6702,15586
2020-12-18,2156,6536,15589
2020-12-19,936,6523,15650
2020-12-20,1065,6537,15695
2020-12-21,2127,6455,15717
2020-12-22,2138,6413,15716
2020-12-23,1881,6263,15704
2020-12-24,1405,5876,15604
2020-12-25,990,5391,15478
2020-12-26,869,5381,15466
2020-12-27,905,5362,15472
2020-12-28,1648,5215,15430
2020-12-29,1707,4945,15331
2020-12-30,1622,4691,15224
2020-12-31,1283,4574,15047
2021-01-01,781,4471,14759
2021-01-02,905,4440,14712
2021-01-03,1071,4528,14707
2021-01-04,2170,4925,14684
2021-01-05,2305,5259,14688
2021-01-06,2259,5517,14573
2021-01-07,2449,5915,14521
